47538
222887
0	24208	1
0	24445	1
0	18055	1
0	26575	1
0	12596	1
0	28092	1
0	14484	1
0	14809	1
0	47328	1
0	32542	1
0	36124	1
0	35300	1
0	2570	1
1	5463	1
1	14232	1
1	4833	1
1	36852	1
1	37620	1
2	45548	1
2	34493	1
2	7694	1
2	27683	1
2	41624	1
2	21711	1
2	9769	1
2	34620	1
2	44553	1
2	38102	1
2	34634	1
2	16672	1
2	41498	1
2	25355	1
2	33700	1
2	10124	1
2	26250	1
3	26518	1
3	39718	1
3	13713	1
3	34114	1
3	19454	1
3	45114	1
3	4429	1
3	2573	1
3	46000	1
3	27675	1
3	28430	1
3	6627	1
3	46753	1
4	45360	1
4	12512	1
4	39244	1
4	46144	1
4	13028	1
4	1774	1
4	42738	1
4	15633	1
4	28266	1
4	31624	1
4	13495	1
4	33403	1
4	9077	1
4	2444	1
4	27914	1
4	7058	1
4	2385	1
4	45791	1
4	43644	1
4	41120	1
4	33275	1
4	25213	1
4	3899	1
4	39561	1
4	13177	1
4	26791	1
5	17133	1
5	6400	1
5	38723	1
5	10656	1
5	11090	1
5	30907	1
5	34224	1
5	33870	1
5	37933	1
5	30022	1
5	23361	1
5	37363	1
5	36551	1
5	15444	1
5	14970	1
5	20687	1
5	2006	1
5	21101	1
5	8047	1
5	18702	1
6	15555	1
6	19884	1
6	1384	1
6	11296	1
6	30595	1
6	13352	1
6	40934	1
7	29097	1
7	28466	1
7	1743	1
7	31566	1
7	3590	1
7	583	1
7	10783	1
7	26843	1
7	8186	1
7	8342	1
7	35181	1
7	14679	1
8	31932	1
8	15161	1
8	3348	1
8	35935	1
8	14906	1
8	10399	1
8	32970	1
8	19811	1
8	32635	1
8	44111	1
8	38033	1
9	35004	1
9	35711	1
9	24486	1
9	23531	1
9	17994	1
9	21009	1
9	7563	1
9	45774	1
9	43036	1
9	34010	1
9	730	1
10	42558	1
10	24774	1
10	42656	1
10	899	1
10	35605	1
10	43238	1
10	19031	1
11	42779	1
11	32765	1
11	44990	1
11	44172	1
11	22618	1
11	21470	1
11	23542	1
11	1008	1
11	23076	1
11	1489	1
11	5298	1
11	23483	1
11	42089	1
12	4122	1
12	3467	1
12	35488	1
12	8526	1
12	15289	1
12	7431	1
12	10057	1
12	8416	1
12	43436	1
12	3792	1
12	29132	1
13	8204	1
13	17712	1
14	5218	1
14	34474	1
14	24336	1
14	31224	1
14	27211	1
14	20162	1
14	8075	1
14	8015	1
14	11458	1
14	32210	1
14	111	1
14	22462	1
14	8830	1
14	2739	1
14	31705	1
14	6308	1
14	47003	1
23023	19532	1
23023	14055	1
23023	20312	1
23023	30120	1
23023	33623	1
16	30206	1
16	9445	1
16	10639	1
16	38611	1
16	2688	1
16	43782	1
16	8363	1
16	8426	1
16	43801	1
17	17420	1
17	23883	1
17	43305	1
17	21673	1
17	24890	1
17	15382	1
17	37452	1
17	27153	1
17	36769	1
17	2180	1
17	5386	1
17	15975	1
17	7325	1
17	3715	1
17	10530	1
17	7865	1
17	21647	1
17	19057	1
17	33262	1
17	43974	1
17	24224	1
17	18823	1
17	25268	1
17	30913	1
17	27686	1
17	46446	1
18	36927	1
18	32311	1
18	39870	1
18	15219	1
19	21147	1
19	17386	1
19	7352	1
19	42265	1
19	2523	1
19	13058	1
19	38287	1
22	46286	1
22	2254	1
22	26185	1
22	24844	1
22	23880	1
22	5521	1
22	14539	1
22	2618	1
22	16492	1
22	26920	1
22	20152	1
22	10721	1
22	26899	1
22	44726	1
22	118	1
22	23767	1
22	47108	1
22	2288	1
22	40057	1
22	27693	1
22	34214	1
22	17804	1
22	26328	1
23	34683	1
23	19485	1
23	37361	1
24	25796	1
24	11186	1
24	16509	1
24	34882	1
24	13850	1
24	46827	1
24	7447	1
24	37642	1
24	655	1
24	17594	1
24	78	1
24	25631	1
24	37508	1
24	19081	1
24	24750	1
24	26470	1
24	31071	1
24	19975	1
24	17622	1
24	20136	1
24	36336	1
34401	1564	1
34401	38525	1
25	15170	1
25	38806	1
25	13380	1
25	1060	1
25	39877	1
25	3914	1
25	22790	1
25	25145	1
25	8041	1
25	17328	1
25	8543	1
25	26533	1
25	19539	1
25	1226	1
25	18202	1
25	42713	1
25	45631	1
25	29536	1
25	10626	1
25	2163	1
25	27914	1
25	1651	1
25	12007	1
25	13006	1
25	23592	1
25	5241	1
25	26832	1
25	16163	1
25	39107	1
25	11837	1
25	11829	1
25	29245	1
25	30582	1
25	42622	1
25	4251	1
25	23199	1
26	21841	1
26	24841	1
